event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
Javelin Throw,F57,M,,,50.32,49.46,42.12,,,51.739999999999995,49.9,41.92,,,,,,28.9,Fahad Bin Diran,,-21.42,-20.560000000000002,-13.219999999999999,,0.6600000000000001,37
Javelin Throw,F55,M,,,50.32,49.46,42.12,,,50.18,48.25,41.44,,,,,,14.34,Abdullah Alrishan,,-35.980000000000004,-35.120000000000005,-27.779999999999998,,0.19500000000000028,24
Javelin Throw,T35,M,,,,,35.71,,,56.75,,,,,,,,,,,,,,,-0.08499999999999996,3
Javelin Throw,F37,M,,,,51.97,35.71,,,56.75,51.21,,,,,,,39.1,Mutaz Saud,,,-12.869999999999997,3.3900000000000006,,0.7400000000000002,10
Javelin Throw,F34,M,,,41.16,37.17,25.12,,,40.83,37.239999999999995,26.935000000000002,,,,,,19.58,Khalid Alahmari,,-21.58,-17.590000000000003,-5.540000000000003,,-0.08999999999999986,26
Javelin Throw,T62,M,,,,,,,,,,47.24,,,,,,,,,,,,,0.07500000000000018,3
Javelin Throw,F40,M,,,47.32,40.46,,,,48.94,42.82,34.58,,,,,,48.12,Mohammed Aljaber,,0.7999999999999972,7.659999999999997,,,0.10500000000000043,15
Javelin Throw,F33,M,,,41.16,37.17,,,,40.14,36.54,28.66,,,,,,21.42,Hani Alnakhli,,-19.739999999999995,-15.75,,,0.46999999999999975,17
Javelin Throw,F46,M,,,,,47.54,,,65.285,62.11,,,,,,,22.74,Mohammed Rizq Allah,,,,-24.8,,0.07499999999999929,16
Javelin Throw,F54,M,,,,,,,,31.245,31.23,,,,,,,20.12,Saleh Alanazi,,,,,,-0.11000000000000032,12
Javelin Throw,F41,M,,,47.32,40.46,,,,48.9,43.21,35.87,,,,,,28.31,Rakan Alqahtani,,-19.01,-12.150000000000002,,,0.17499999999999982,24
Javelin Throw,F56,M,,,50.32,,,,,,,,,,,,,24.94,Haidr Salamh,,-25.38,,,,-0.2549999999999999,6
Javelin Throw,F42,M,,,,,57.99,,,,62.36,47.24,,,,,,41.49,Ali Albishi,,,,-16.5,,0.33000000000000007,8
Javelin Throw,F12,M,,,,61.13,57.04,,,,,56.84,,,,,,,,,,,,,0.29499999999999993,11
Javelin Throw,F44,M,,,,,,,,,62.235,,,,,,,,,,,,,,-0.015000000000000568,13
Javelin Throw,F45,M,,,,,47.54,,,,,54.22,,,,,,22.74,Mohammed Rizq Allah,,,,-24.8,,-0.13999999999999968,5
Javelin Throw,F52,M,,,,,,,,30.25,29.82,,,,,,,,,,,,,,0.21499999999999986,6
